Reference,Quantity,Value,Footprint,Manufacturer,Part Number,Description,Supplier,Supplier Part,Unit Price (USD),Total Price (USD)
D2,1,PESD5V0S1BA,SOD-323,Nexperia,PESD5V0S1BA,ESD Protection Diode 5V,Digikey,1727-4568-1-ND,0.14,0.14
D3,1,BAT54C,SOT-23,Nexperia,BAT54C,Schottky Diode Dual 30V,Digikey,1727-4840-1-ND,0.18,0.18
SW1,1,PTS636 SM43J SMTR LFS,SMD-4.2x3.2,C&K,PTS636 SM43J SMTR LFS,Tactile Switch 50mA,Digikey,CKN12221CT-ND,0.24,0.24
Q1,1,SI2301CDS-T1-GE3,SOT-23,Vishay,SI2301CDS-T1-GE3,P-Channel MOSFET -20V -2.3A,Digikey,SI2301CDS-T1-GE3CT-ND,0.45,0.45
BAT1,1,LP603450,Solder-Pad,Generic,LP603450,Li-Po Battery 3.7V 500mAh,Alibaba,Custom,1.50,1.50
R1,1,10k,0603,Yageo,RC0603FR-0710KL,Resistor 10kΩ 1% 0.1W,Digikey,311-10.0KHRCT-ND,0.01,0.01
R2,1,10k,0603,Yageo,RC0603FR-0710KL,Resistor 10kΩ 1% 0.1W,Digikey,311-10.0KHRCT-ND,0.01,0.01
R3,1,2k,0603,Yageo,RC0603FR-072KL,Resistor 2kΩ 1% 0.1W,Digikey,311-2.00KHRCT-ND,0.01,0.01
R4,1,4.7k,0603,Yageo,RC0603FR-074K7L,Resistor 4.7kΩ 1% 0.1W,Digikey,311-4.70KHRCT-ND,0.01,0.01
R5,1,100k,0603,Yageo,RC0603FR-07100KL,Resistor 100kΩ 1% 0.1W,Digikey,311-100KHRCT-ND,0.01,0.01
R6,1,1k,0603,Yageo,RC0603FR-071KL,Resistor 1kΩ 1% 0.1W,Digikey,311-1.00KHRCT-ND,0.01,0.01
R7-R9,3,330,0603,Yageo,RC0603FR-07330RL,Resistor 330Ω 1% 0.1W (LED),Digikey,311-330HRCT-ND,0.01,0.03
R10-R15,6,10k,0603,Yageo,RC0603FR-0710KL,Resistor 10kΩ 1% 0.1W,Digikey,311-10.0KHRCT-ND,0.01,0.06
R16,1,47k,0603,Yageo,RC0603FR-0747KL,Resistor 47kΩ 1% 0.1W,Digikey,311-47.0KHRCT-ND,0.01,0.01
R17,1,22,0603,Yageo,RC0603FR-0722RL,Resistor 22Ω 1% 0.1W (USB),Digikey,311-22.0HRCT-ND,0.01,0.01
R18,1,22,0603,Yageo,RC0603FR-0722RL,Resistor 22Ω 1% 0.1W (USB),Digikey,311-22.0HRCT-ND,0.01,0.01
C1,1,10uF,0603,Samsung,CL10A106KP8NNNC,Capacitor 10µF 10V X5R,Digikey,1276-1119-1-ND,0.09,0.09
C2,1,10uF,0603,Samsung,CL10A106KP8NNNC,Capacitor 10µF 10V X5R,Digikey,1276-1119-1-ND,0.09,0.09
C3,1,4.7uF,0603,Samsung,CL10A475KP8NNNC,Capacitor 4.7µF 10V X5R,Digikey,1276-1244-1-ND,0.08,0.08
C4,1,4.7uF,0603,Samsung,CL10A475KP8NNNC,Capacitor 4.7µF 10V X5R,Digikey,1276-1244-1-ND,0.08,0.08
C5-C10,6,100nF,0603,Samsung,CL10B104KB8NNNC,Capacitor 100nF 50V X7R,Digikey,1276-1000-1-ND,0.01,0.06
C11-C14,4,1nF,0603,Samsung,CL10B102KB8NNNC,Capacitor 1nF 50V X7R,Digikey,1276-1109-1-ND,0.01,0.04
C15,1,1uF,0603,Samsung,CL10A105KA8NNNC,Capacitor 1µF 25V X5R,Digikey,1276-1066-1-ND,0.02,0.02
C16,1,47pF,0603,Yageo,CC0603JRNPO9BN470,Capacitor 47pF 50V C0G,Digikey,311-1109-1-ND,0.01,0.01
C17,1,47pF,0603,Yageo,CC0603JRNPO9BN470,Capacitor 47pF 50V C0G,Digikey,311-1109-1-ND,0.01,0.01
C18,1,12pF,0603,Yageo,CC0603JRNPO9BN120,Capacitor 12pF 50V C0G,Digikey,311-1100-1-ND,0.01,0.01
C19,1,12pF,0603,Yageo,CC0603JRNPO9BN120,Capacitor 12pF 50V C0G,Digikey,311-1100-1-ND,0.01,0.01
C20,1,1.5pF,0603,Yageo,CC0603CRNPO9BN1R5,Capacitor 1.5pF 50V C0G,Digikey,311-3728-1-ND,0.02,0.02
C21,1,2.2pF,0603,Yageo,CC0603CRNPO9BN2R2,Capacitor 2.2pF 50V C0G,Digikey,311-3729-1-ND,0.02,0.02
L1,1,2.7nH,0603,Murata,LQW18AN2N7D00D,Inductor 2.7nH ±0.3nH (RF),Digikey,490-LQW18AN2N7D00DCT-ND,0.12,0.12
L2,1,3.9nH,0603,Murata,LQW18AN3N9D00D,Inductor 3.9nH ±0.3nH (RF),Digikey,490-LQW18AN3N9D00DCT-ND,0.12,0.12
L3,1,10uH,0805,TDK,MLZ2012M100WT000,Ferrite Bead 10µH @100MHz,Digikey,445-2201-1-ND,0.08,0.08
ANT1,1,2450AT18A100,Chip,Johanson,2450AT18A100,2.4GHz Ceramic Antenna,Digikey,712-1009-1-ND,1.25,1.25
,,,,,,,,,,
,,,,,,,,Subtotal,20.47
,,,,,,,,PCB (4-layer ENIG),15.00
,,,,,,,,Stencil,8.00
,,,,,,,,Assembly (if outsourced),25.00
,,,,,,,,Testing & QC,5.00
,,,,,,,,,,
,,,,,,,,Total per Unit (DIY),20.47
,,,,,,,,Total per Unit (Assembled),73.47
,,,,,,,,,,
,,,,,,,,MOQ 100 Units (with assembly),$5500
,,,,,,,,MOQ 1000 Units (with assembly),$35000

